#,Hall.,H. Type,Unnamed: 3,L0,L0_ii,L0_iii,L0_iv,L1,L2,Q0,Q0_ii,Q0_iii,Q0_iv,Q1,Q2,M0,M0_ii,M0_iii,M0_iv,M1,M2,G0,G0_ii,G0_iii,G0_iv,G1,G2,Unnamed: 28,L0.1,L0_ii.1,L0_iii.1,L0_iv.1,L1.1,L2.1,Q0.1,Q0_ii.1,Q0_iii.1,Q0_iv.1,Q1.1,Q2.1,M0.1,M0_ii.1,M0_iii.1,M0_iv.1,M1.1,M2.1,G0.1,G0_ii.1,G0_iii.1,G0_iv.1,G1.1,G2.1,Unnamed: 53,L0.2,L0_ii.2,L0_iii.2,L0_iv.2,L1.2,L2.2,Q0.2,Q0_ii.2,Q0_iii.2,Q0_iv.2,Q1.2,Q2.2,M0.2,M0_ii.2,M0_iii.2,M0_iv.2,M1.2,M2.2,G0.2,G0_ii.2,G0_iii.2,G0_iv.2,G1.2,G2.2,Unnamed: 78,L0.3,L0_ii.3,L0_iii.3,L0_iv.3,L1.3,L2.3,Q0.3,Q0_ii.3,Q0_iii.3,Q0_iv.3,Q1.3,Q2.3,M0.3,M0_ii.3,M0_iii.3,M0_iv.3,M1.3,M2.3,G0.3,G0_ii.3,G0_iii.3,G0_iv.3,G1.3,G2.3,Unnamed: 103,Support,Prec. Macro,Prec. Macro Balanced,Prec. Micro A,Prec. Micro B,Optimal numeric,E1_score,E2_score,E3_score,E4_score,E5_score,E6_score,Rank,is_hall,is_real,k,cum_covered,cum_hall
GS.1.1,No,,H.1.1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76","0,76","0,76","0,76","0,75","0,72","0,66","0,66","0,66","0,66","0,75","0,61","0,85","0,85","0,85","0,85","0,60","0,74",,"0,89","0,89","0,89","0,89","0,80","0,89","0,74","0,74","0,74","0,74","0,75","0,72","0,65","0,65","0,65","0,65","0,75","0,61","0,84","0,84","0,84","0,84","0,60","0,74",,"0,78","0,78","0,78","0,78","0,80","0,89","0,49","0,49","0,49","0,49","0,75","0,72","0,49","0,49","0,49","0,49","0,75","0,61","0,68","0,68","0,68","0,68","0,60","0,74",,24,"18,49","11,582","18,36","15,59","1,000000",18.49,24,11.582,18.36,15.59,1.0,1,False,True,1,1,0
GS.6.1,No,,H.6.1,X,X,P,P,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76","0,76","0,76","0,76","0,75","0,72","0,66","0,66","0,66","0,66","0,75","0,61","0,85","0,85","0,85","0,85","0,60","0,74",,"0,89","0,89","0,89","0,89","0,80","0,89","0,74","0,74","0,74","0,74","0,75","0,72","0,65","0,65","0,65","0,65","0,75","0,61","0,84","0,84","0,84","0,84","0,60","0,74",,"0,78","0,78","0,78","0,78","0,80","0,89","0,49","0,49","0,49","0,49","0,75","0,72","0,49","0,49","0,49","0,49","0,75","0,61","0,68","0,68","0,68","0,68","0,60","0,74",,24,"18,49","11,582","18,36","15,59","1,000000",18.49,24,11.582,18.36,15.59,1.0,1,False,True,2,2,0
GS.5.1,No,,H.5.1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76","0,76","0,76","0,76","0,75","0,72","0,66","0,66","0,66","0,66","0,75","0,61","0,85","0,85","0,85","0,85","0,60","0,74",,"0,89","0,89","0,89","0,89","0,80","0,89","0,74","0,74","0,74","0,74","0,75","0,72","0,65","0,65","0,65","0,65","0,75","0,61","0,84","0,84","0,84","0,84","0,60","0,74",,"0,78","0,78","0,78","0,78","0,80","0,89","0,49","0,49","0,49","0,49","0,75","0,72","0,49","0,49","0,49","0,49","0,75","0,61","0,68","0,68","0,68","0,68","0,60","0,74",,24,"18,49","11,582","18,36","15,59","1,000000",18.49,24,11.582,18.36,15.59,1.0,1,False,True,3,3,0
GS.8.1,No,,H.8.1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76","0,76","0,76","0,76","0,75","0,72","0,66","0,66","0,66","0,66","0,75","0,61","0,85","0,85","0,85","0,85","0,60","0,74",,"0,89","0,89","0,89","0,89","0,80","0,89","0,74","0,74","0,74","0,74","0,75","0,72","0,65","0,65","0,65","0,65","0,75","0,61","0,84","0,84","0,84","0,84","0,60","0,74",,"0,78","0,78","0,78","0,78","0,80","0,89","0,49","0,49","0,49","0,49","0,75","0,72","0,49","0,49","0,49","0,49","0,75","0,61","0,68","0,68","0,68","0,68","0,60","0,74",,24,"18,49","11,582","18,36","15,59","1,000000",18.49,24,11.582,18.36,15.59,1.0,1,False,True,4,4,0
GS.7.1,No,,H.7.1,X,X,X,X,X,X,P,P,P,P,P,P,P,P,P,P,P,P,X,X,X,X,X,P,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76","0,76","0,76","0,76","0,75","0,72","0,66","0,66","0,66","0,66","0,75","0,61","0,85","0,85","0,85","0,85","0,60","0,74",,"0,89","0,89","0,89","0,89","0,80","0,89","0,74","0,74","0,74","0,74","0,75","0,72","0,65","0,65","0,65","0,65","0,75","0,61","0,84","0,84","0,84","0,84","0,60","0,74",,"0,78","0,78","0,78","0,78","0,80","0,89","0,49","0,49","0,49","0,49","0,75","0,72","0,49","0,49","0,49","0,49","0,75","0,61","0,68","0,68","0,68","0,68","0,60","0,74",,24,"18,49","11,582","18,36","15,59","1,000000",18.49,24,11.582,18.36,15.59,1.0,1,False,True,5,5,0
GS.3.1,No,,H.3.1,P,P,P,P,P,P,P,X,X,P,P,P,P,,P,P,P,P,X,X,X,X,X,X,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76","0,76","0,76","0,76","0,75","0,72","0,66",,"0,66","0,66","0,75","0,61","0,85","0,85","0,85","0,85","0,60","0,74",,"0,89","0,89","0,89","0,89","0,80","0,89","0,74","0,74","0,74","0,74","0,75","0,72","0,65",,"0,65","0,65","0,75","0,61","0,84","0,84","0,84","0,84","0,60","0,74",,"0,78","0,78","0,78","0,78","0,80","0,89","0,49","0,49","0,49","0,49","0,75","0,72","0,49",,"0,49","0,49","0,75","0,61","0,68","0,68","0,68","0,68","0,60","0,74",,23,"17,84","11,418","17,70","15,10","0,988789",17.84,23,11.418,17.7,15.1,0.988789,2,False,True,6,6,0
GS.9.1,No,,H.9.1,X,X,X,X,X,X,X,X,X,X,P,,X,X,P,X,X,X,X,X,X,X,X,X,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76","0,76","0,76","0,76","0,75",,"0,66","0,66","0,66","0,66","0,75","0,61","0,85","0,85","0,85","0,85","0,60","0,74",,"0,89","0,89","0,89","0,89","0,80","0,89","0,74","0,74","0,74","0,74","0,75",,"0,65","0,65","0,65","0,65","0,75","0,61","0,84","0,84","0,84","0,84","0,60","0,74",,"0,78","0,78","0,78","0,78","0,80","0,89","0,49","0,49","0,49","0,49","0,75",,"0,49","0,49","0,49","0,49","0,75","0,61","0,68","0,68","0,68","0,68","0,60","0,74",,23,"17,77","10,858","17,63","14,87","0,963206",17.77,23,10.858,17.63,14.87,0.963206,3,False,True,7,7,0
GS.4.7,No,,H.4.7,P,P,P,P,P,P,X,X,X,X,X,P,X,X,X,X,X,X,,X,X,P,P,P,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76","0,76","0,76","0,76","0,75","0,72","0,66","0,66","0,66","0,66","0,75","0,61",,"0,85","0,85","0,85","0,60","0,74",,"0,89","0,89","0,89","0,89","0,80","0,89","0,74","0,74","0,74","0,74","0,75","0,72","0,65","0,65","0,65","0,65","0,75","0,61",,"0,84","0,84","0,84","0,60","0,74",,"0,78","0,78","0,78","0,78","0,80","0,89","0,49","0,49","0,49","0,49","0,75","0,72","0,49","0,49","0,49","0,49","0,75","0,61",,"0,68","0,68","0,68","0,60","0,74",,23,"17,64","10,728","17,51","14,92","0,958337",17.64,23,10.728,17.51,14.92,0.958337,4,False,True,8,8,0
GS.9.3,No,,H.9.3,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,"0,89","0,89","0,89","0,89","0,80",,"0,76","0,76","0,76","0,76","0,75","0,72","0,66","0,66","0,66","0,66","0,75","0,61","0,85","0,85","0,85","0,85","0,60","0,74",,"0,89","0,89","0,89","0,89","0,80",,"0,74","0,74","0,74","0,74","0,75","0,72","0,65","0,65","0,65","0,65","0,75","0,61","0,84","0,84","0,84","0,84","0,60","0,74",,"0,78","0,78","0,78","0,78","0,80",,"0,49","0,49","0,49","0,49","0,75","0,72","0,49","0,49","0,49","0,49","0,75","0,61","0,68","0,68","0,68","0,68","0,60","0,74",,23,"17,60","10,690","17,46","14,70","0,945609",17.6,23,10.69,17.46,14.7,0.945609,5,False,True,9,9,0
GS.2.1,No,,H.2.1,X,X,X,X,P,X,P,X,X,P,X,X,,,,X,X,,P,X,X,P,X,P,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76","0,76","0,76","0,76","0,75","0,72",,,,"0,66","0,75",,"0,85","0,85","0,85","0,85","0,60","0,74",,"0,89","0,89","0,89","0,89","0,80","0,89","0,74","0,74","0,74","0,74","0,75","0,72",,,,"0,65","0,75",,"0,84","0,84","0,84","0,84","0,60","0,74",,"0,78","0,78","0,78","0,78","0,80","0,89","0,49","0,49","0,49","0,49","0,75","0,72",,,,"0,49","0,75",,"0,68","0,68","0,68","0,68","0,60","0,74",,20,"15,91","10,483","15,79","13,52","0,898373",15.91,20,10.483,15.79,13.52,0.898373,6,False,True,10,10,0
GS.5.2,No,,H.5.2,P,P,P,P,,,X,X,X,X,X,,,,,,,,X,X,X,X,,X,,"0,89","0,89","0,89","0,89",,,"0,76","0,76","0,76","0,76","0,75",,,,,,,,"0,85","0,85","0,85","0,85",,"0,74",,"0,89","0,89","0,89","0,89",,,"0,74","0,74","0,74","0,74","0,75",,,,,,,,"0,84","0,84","0,84","0,84",,"0,74",,"0,78","0,78","0,78","0,78",,,"0,49","0,49","0,49","0,49","0,75",,,,,,,,"0,68","0,68","0,68","0,68",,"0,74",,14,"11,49","6,551","11,37","9,26","0,668489",11.49,14,6.551,11.37,9.26,0.668489,7,False,True,11,11,0
GS.4.1,No,,H.4.1,X,X,X,P,X,X,X,P,P,P,,P,,,,,P,P,,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76","0,76","0,76","0,76",,"0,72",,,,,"0,75","0,61",,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89","0,74","0,74","0,74","0,74",,"0,72",,,,,"0,75","0,61",,,,,,,,"0,78","0,78","0,78","0,78","0,80","0,89","0,49","0,49","0,49","0,49",,"0,72",,,,,"0,75","0,61",,,,,,,,13,"10,36","5,419","10,28","8,84","0,653754",10.36,13,5.419,10.28,8.84,0.653754,8,False,True,12,12,0
